Time,TotalEnergy
3.85,-1.28608e+07
3.86,-1.28608e+07
3.87,-1.28608e+07
3.88,-1.28608e+07
3.89,-1.28608e+07
3.9,-1.28608e+07
3.91,-1.28608e+07
3.92,-1.28608e+07
3.93,-1.28608e+07
3.94,-1.28608e+07
3.95,-1.28608e+07
3.96,-1.28608e+07
3.97,-1.28608e+07
3.98,-1.28608e+07
3.99,-1.28608e+07
4,-1.28608e+07
4.01,-1.28608e+07
4.02,-1.28608e+07
4.03,-1.28608e+07
4.04,-1.28608e+07
4.05,-1.28608e+07
4.06,-1.28608e+07
4.07,-1.28608e+07
4.08,-1.28608e+07
4.09,-1.28608e+07
4.1,-1.28608e+07
4.11,-1.28608e+07
4.12,-1.28608e+07
4.13,-1.28608e+07
4.14,-1.28608e+07
4.15,-1.28608e+07
4.16,-1.28608e+07
4.17,-1.28608e+07
4.18,-1.28608e+07
4.19,-1.28608e+07
4.2,-1.28608e+07
4.21,-1.28608e+07
4.22,-1.28608e+07
4.23,-1.28608e+07
4.24,-1.28608e+07
4.25,-1.28608e+07
4.26,-1.28608e+07
4.27,-1.28608e+07
4.28,-1.28608e+07
4.29,-1.28608e+07
4.3,-1.28608e+07
4.31,-1.28608e+07
4.32,-1.28608e+07
4.33,-1.28608e+07
4.34,-1.28608e+07
4.35,-1.28608e+07
4.36,-1.28608e+07
4.37,-1.28608e+07
4.38,-1.28608e+07
4.39,-1.28608e+07
4.4,-1.28608e+07
4.41,-1.28608e+07
4.42,-1.28608e+07
4.43,-1.28608e+07
4.44,-1.28608e+07
4.45,-1.28608e+07
4.46,-1.28608e+07
4.47,-1.28608e+07
4.48,-1.28608e+07
4.49,-1.28608e+07
4.5,-1.28608e+07
4.51,-1.28608e+07
4.52,-1.28608e+07
4.53,-1.28608e+07
4.54,-1.28608e+07
4.55,-1.28608e+07
4.56,-1.28608e+07
4.57,-1.28608e+07
4.58,-1.28608e+07
4.59,-1.28608e+07
4.6,-1.28608e+07
4.61,-1.28608e+07
4.62,-1.28608e+07
4.63,-1.28608e+07
4.64,-1.28608e+07
4.65,-1.28608e+07
4.66,-1.28608e+07
4.67,-1.28608e+07
4.68,-1.28608e+07
4.69,-1.28608e+07
4.7,-1.28608e+07
4.71,-1.28608e+07
4.72,-1.28608e+07
4.73,-1.28608e+07
4.74,-1.28608e+07
4.75,-1.28608e+07
4.76,-1.28608e+07
4.77,-1.28608e+07
4.78,-1.28608e+07
4.79,-1.28608e+07
4.8,-1.28608e+07
4.81,-1.28608e+07
4.82,-1.28608e+07
4.83,-1.28608e+07
4.84,-1.28608e+07
4.85,-1.28608e+07
4.86,-1.28608e+07
4.87,-1.28608e+07
4.88,-1.28608e+07
4.89,-1.28608e+07
4.9,-1.28608e+07
4.91,-1.28608e+07
4.92,-1.28608e+07
4.93,-1.28608e+07
4.94,-1.28608e+07
4.95,-1.28608e+07
4.96,-1.28608e+07
4.97,-1.28608e+07
4.98,-1.28608e+07
4.99,-1.28608e+07
5,-1.28608e+07
5.01,-1.28608e+07
5.02,-1.28608e+07
5.03,-1.28608e+07
5.04,-1.28608e+07
5.05,-1.28608e+07
5.06,-1.28608e+07
5.07,-1.28608e+07
5.08,-1.28608e+07
5.09,-1.28608e+07
5.1,-1.28608e+07
5.11,-1.28608e+07
5.12,-1.28608e+07
5.13,-1.28608e+07
5.14,-1.28608e+07
5.15,-1.28608e+07
5.16,-1.28608e+07
5.17,-1.28608e+07
5.18,-1.28608e+07
5.19,-1.28608e+07
5.2,-1.28608e+07
5.21,-1.28608e+07
5.22,-1.28608e+07
5.23,-1.28608e+07
5.24,-1.28608e+07
5.25,-1.28608e+07
5.26,-1.28608e+07
5.27,-1.28608e+07
5.28,-1.28608e+07
5.29,-1.28608e+07
5.3,-1.28608e+07
5.31,-1.28608e+07
5.32,-1.28608e+07
5.33,-1.28608e+07
5.34,-1.28608e+07
5.35,-1.28608e+07
5.36,-1.28608e+07
5.37,-1.28608e+07
5.38,-1.28608e+07
5.39,-1.28608e+07
5.4,-1.28608e+07
5.41,-1.28608e+07
5.42,-1.28608e+07
5.43,-1.28608e+07
5.44,-1.28608e+07
5.45,-1.28608e+07
5.46,-1.28608e+07
5.47,-1.28608e+07
5.48,-1.28608e+07
5.49,-1.28608e+07
5.5,-1.28608e+07
5.51,-1.28608e+07
5.52,-1.28608e+07
5.53,-1.28608e+07
5.54,-1.28608e+07
5.55,-1.28608e+07
5.56,-1.28608e+07
5.57,-1.28608e+07
5.58,-1.28608e+07
5.59,-1.28608e+07
5.6,-1.28608e+07
5.61,-1.28608e+07
5.62,-1.28608e+07
5.63,-1.28608e+07
5.64,-1.28608e+07
5.65,-1.28608e+07
5.66,-1.28608e+07
5.67,-1.28608e+07
5.68,-1.28608e+07
5.69,-1.28608e+07
5.7,-1.28608e+07
5.71,-1.28608e+07
5.72,-1.28608e+07
5.73,-1.28608e+07
5.74,-1.28608e+07
5.75,-1.28608e+07
5.76,-1.28608e+07
5.77,-1.28608e+07
5.78,-1.28608e+07
5.79,-1.28608e+07
5.8,-1.28608e+07
5.81,-1.28608e+07
5.82,-1.28608e+07
5.83,-1.28608e+07
5.84,-1.28608e+07
5.85,-1.28608e+07
5.86,-1.28608e+07
5.87,-1.28608e+07
5.88,-1.28608e+07
5.89,-1.28608e+07
5.9,-1.28608e+07
5.91,-1.28608e+07
5.92,-1.28608e+07
5.93,-1.28608e+07
5.94,-1.28608e+07
5.95,-1.28608e+07
5.96,-1.28608e+07
5.97,-1.28608e+07
5.98,-1.28608e+07
5.99,-1.28608e+07
6,-1.28608e+07
6.01,-1.28608e+07
6.02,-1.28608e+07
6.03,-1.28608e+07
6.04,-1.28608e+07
6.05,-1.28608e+07
6.06,-1.28608e+07
6.07,-1.28608e+07
6.08,-1.28608e+07
6.09,-1.28608e+07
6.1,-1.28608e+07
6.11,-1.28608e+07
6.12,-1.28608e+07
6.13,-1.28608e+07
6.14,-1.28608e+07
6.15,-1.28608e+07
6.16,-1.28608e+07
6.17,-1.28608e+07
6.18,-1.28608e+07
6.19,-1.28608e+07
6.2,-1.28608e+07
6.21,-1.28608e+07
6.22,-1.28608e+07
6.23,-1.28608e+07
6.24,-1.28608e+07
6.25,-1.28608e+07
6.26,-1.28608e+07
6.27,-1.28608e+07
6.28,-1.28608e+07
6.29,-1.28608e+07
6.3,-1.28608e+07
6.31,-1.28608e+07
6.32,-1.28608e+07
6.33,-1.28608e+07
6.34,-1.28608e+07
6.35,-1.28608e+07
6.36,-1.28608e+07
6.37,-1.28608e+07
6.38,-1.28608e+07
6.39,-1.28608e+07
6.4,-1.28608e+07
6.41,-1.28608e+07
6.42,-1.28608e+07
6.43,-1.28608e+07
6.44,-1.28608e+07
6.45,-1.28608e+07
6.46,-1.28608e+07
6.47,-1.28608e+07
6.48,-1.28608e+07
6.49,-1.28608e+07
6.5,-1.28608e+07
6.51,-1.28608e+07
6.52,-1.28608e+07
6.53,-1.28608e+07
6.54,-1.28608e+07
6.55,-1.28608e+07
6.56,-1.28609e+07
6.57,-1.28609e+07
6.58,-1.28609e+07
6.59,-1.28609e+07
6.6,-1.28609e+07
6.61,-1.28609e+07
6.62,-1.28609e+07
6.63,-1.28609e+07
6.64,-1.28608e+07
6.65,-1.28608e+07
6.66,-1.28608e+07
6.67,-1.28608e+07
6.68,-1.28608e+07
6.69,-1.28608e+07
6.7,-1.28608e+07
6.71,-1.28608e+07
6.72,-1.28608e+07
6.73,-1.28608e+07
6.74,-1.28609e+07
6.75,-1.28609e+07
6.76,-1.28609e+07
6.77,-1.28609e+07
6.78,-1.28609e+07
6.79,-1.28609e+07
6.8,-1.28608e+07
6.81,-1.28609e+07
6.82,-1.28609e+07
6.83,-1.28609e+07
6.84,-1.28609e+07
6.85,-1.28609e+07
6.86,-1.28609e+07
6.87,-1.28609e+07
6.88,-1.28609e+07
6.89,-1.28609e+07
6.9,-1.28609e+07
6.91,-1.28609e+07
6.92,-1.28609e+07
6.93,-1.28609e+07
6.94,-1.28609e+07
6.95,-1.28609e+07
6.96,-1.28609e+07
6.97,-1.28609e+07
6.98,-1.28609e+07
6.99,-1.28609e+07
7,-1.28609e+07
7.01,-1.28609e+07
7.02,-1.28609e+07
7.03,-1.28609e+07
7.04,-1.28609e+07
7.05,-1.28609e+07
7.06,-1.28609e+07
7.07,-1.28608e+07
7.08,-1.28608e+07
7.09,-1.28608e+07
7.1,-1.28608e+07
7.11,-1.28608e+07
7.12,-1.28608e+07
7.13,-1.28608e+07
7.14,-1.28608e+07
7.15,-1.28608e+07
7.16,-1.28608e+07
7.17,-1.28608e+07
7.18,-1.28608e+07
7.19,-1.28608e+07
7.2,-1.28608e+07
7.21,-1.28608e+07
7.22,-1.28608e+07
7.23,-1.28608e+07
7.24,-1.28609e+07
7.25,-1.28609e+07
7.26,-1.28608e+07
7.27,-1.28609e+07
7.28,-1.28609e+07
7.29,-1.28609e+07
7.3,-1.28609e+07
7.31,-1.28609e+07
7.32,-1.28609e+07
7.33,-1.28609e+07
7.34,-1.28609e+07
7.35,-1.28609e+07
7.36,-1.28609e+07
7.37,-1.28609e+07
7.38,-1.28609e+07
7.39,-1.28609e+07
7.4,-1.28609e+07
7.41,-1.28609e+07
7.42,-1.28609e+07
7.43,-1.28609e+07
7.44,-1.28609e+07
7.45,-1.28609e+07
7.46,-1.28609e+07
7.47,-1.28609e+07
7.48,-1.28609e+07
7.49,-1.28609e+07
7.5,-1.28609e+07
7.51,-1.28609e+07
7.52,-1.28609e+07
7.53,-1.28609e+07
7.54,-1.28609e+07
7.55,-1.28609e+07
7.56,-1.28609e+07
7.57,-1.28609e+07
7.58,-1.28609e+07
7.59,-1.28609e+07
7.6,-1.28609e+07
7.61,-1.28609e+07
7.62,-1.28609e+07
7.63,-1.28609e+07
7.64,-1.28609e+07
7.65,-1.28609e+07
7.66,-1.28608e+07
7.67,-1.28608e+07
7.68,-1.28608e+07
7.69,-1.28608e+07
7.7,-1.28608e+07
7.71,-1.28608e+07
7.72,-1.28608e+07
7.73,-1.28608e+07
7.74,-1.28608e+07
7.75,-1.28608e+07
7.76,-1.28608e+07
7.77,-1.28608e+07
7.78,-1.28608e+07
7.79,-1.28608e+07
7.8,-1.28608e+07
7.81,-1.28608e+07
7.82,-1.28608e+07
7.83,-1.28608e+07
7.84,-1.28608e+07
7.85,-1.28608e+07
7.86,-1.28608e+07
7.87,-1.28608e+07
7.88,-1.28608e+07
7.89,-1.28608e+07
7.9,-1.28609e+07
7.91,-1.28609e+07
7.92,-1.28609e+07
7.93,-1.28609e+07
7.94,-1.28608e+07
7.95,-1.28609e+07
7.96,-1.28609e+07
7.97,-1.28609e+07
7.98,-1.28609e+07
7.99,-1.28609e+07
8,-1.28609e+07
8.01,-1.28609e+07
8.02,-1.28609e+07
8.03,-1.28609e+07
8.04,-1.28609e+07
8.05,-1.28609e+07
8.06,-1.28609e+07
8.07,-1.28609e+07
8.08,-1.28609e+07
8.09,-1.28609e+07
8.1,-1.28609e+07
8.11,-1.28609e+07
8.12,-1.28609e+07
8.13,-1.28609e+07
8.14,-1.28609e+07
8.15,-1.28609e+07
8.16,-1.28609e+07
8.17,-1.28609e+07
8.18,-1.28609e+07
8.19,-1.28609e+07
8.2,-1.28609e+07
8.21,-1.28609e+07
8.22,-1.28609e+07
8.23,-1.28609e+07
8.24,-1.28609e+07
8.25,-1.28609e+07
8.26,-1.28609e+07
8.27,-1.28609e+07
8.28,-1.28609e+07
8.29,-1.28609e+07
8.3,-1.28609e+07
8.31,-1.28609e+07
8.32,-1.28609e+07
8.33,-1.28609e+07
8.34,-1.28609e+07
8.35,-1.28609e+07
8.36,-1.28609e+07
8.37,-1.28609e+07
8.38,-1.28609e+07
8.39,-1.28609e+07
8.4,-1.28609e+07
8.41,-1.28609e+07
8.42,-1.28609e+07
8.43,-1.28609e+07
8.44,-1.28609e+07
8.45,-1.28609e+07
8.46,-1.28609e+07
8.47,-1.28609e+07
8.48,-1.28609e+07
8.49,-1.28609e+07
8.5,-1.28609e+07
8.51,-1.28609e+07
8.52,-1.28609e+07
8.53,-1.28609e+07
8.54,-1.28609e+07
8.55,-1.28609e+07
8.56,-1.28609e+07
8.57,-1.28609e+07
8.58,-1.28609e+07
8.59,-1.28609e+07
8.6,-1.28609e+07
8.61,-1.28609e+07
8.62,-1.28609e+07
8.63,-1.28609e+07
8.64,-1.28609e+07
8.65,-1.28609e+07
8.66,-1.28609e+07
8.67,-1.28609e+07
8.68,-1.28609e+07
8.69,-1.28609e+07
8.7,-1.28609e+07
8.71,-1.28609e+07
8.72,-1.28609e+07
8.73,-1.28609e+07
8.74,-1.28609e+07
8.75,-1.28609e+07
8.76,-1.28609e+07
8.77,-1.28609e+07
8.78,-1.28609e+07
8.79,-1.28609e+07
8.8,-1.28609e+07
8.81,-1.28609e+07
8.82,-1.28609e+07
8.83,-1.28609e+07
8.84,-1.28609e+07
8.85,-1.28609e+07
8.86,-1.28609e+07
8.87,-1.28609e+07
8.88,-1.28609e+07
8.89,-1.28609e+07
8.9,-1.28609e+07
8.91,-1.28609e+07
8.92,-1.28609e+07
8.93,-1.28609e+07
8.94,-1.28609e+07
8.95,-1.28609e+07
8.96,-1.28609e+07
8.97,-1.28609e+07
8.98,-1.28609e+07
8.99,-1.28609e+07
9,-1.28609e+07
9.01,-1.28609e+07
9.02,-1.28609e+07
9.03,-1.28609e+07
9.04,-1.28609e+07
9.05,-1.28609e+07
9.06,-1.28609e+07
9.07,-1.28609e+07
9.08,-1.28609e+07
9.09,-1.28609e+07
9.1,-1.28609e+07
9.11,-1.28609e+07
9.12,-1.28609e+07
9.13,-1.28609e+07
9.14,-1.28609e+07
9.15,-1.28609e+07
9.16,-1.28609e+07
9.17,-1.28609e+07
9.18,-1.28609e+07
9.19,-1.28609e+07
9.2,-1.28609e+07
9.21,-1.28609e+07
9.22,-1.28609e+07
9.23,-1.28609e+07
9.24,-1.28609e+07
9.25,-1.28609e+07
9.26,-1.28609e+07
9.27,-1.28609e+07
9.28,-1.28609e+07
9.29,-1.28609e+07
9.3,-1.28609e+07
9.31,-1.28609e+07
9.32,-1.28609e+07
9.33,-1.28609e+07
9.34,-1.28609e+07
9.35,-1.28609e+07
9.36,-1.28609e+07
9.37,-1.28609e+07
9.38,-1.28609e+07
9.39,-1.28609e+07
9.4,-1.28609e+07
9.41,-1.28609e+07
9.42,-1.28609e+07
9.43,-1.28609e+07
9.44,-1.28609e+07
9.45,-1.28609e+07
9.46,-1.28609e+07
9.47,-1.28609e+07
9.48,-1.28609e+07
9.49,-1.28609e+07
9.5,-1.28609e+07
9.51,-1.28609e+07
9.52,-1.28609e+07
9.53,-1.28609e+07
9.54,-1.28609e+07
9.55,-1.28609e+07
9.56,-1.28609e+07
9.57,-1.28609e+07
9.58,-1.28609e+07
9.59,-1.28609e+07
9.6,-1.28609e+07
9.61,-1.28609e+07
9.62,-1.28609e+07
9.63,-1.28609e+07
9.64,-1.28609e+07
9.65,-1.28609e+07
9.66,-1.28609e+07
9.67,-1.28609e+07
9.68,-1.28609e+07
9.69,-1.28609e+07
9.7,-1.28609e+07
